university_code,university_name,major_code,major_name,subject_group,point,note,year
UTC,Đại Học Giao Thông Vận Tải (Cơ sở Phía Bắc),GHA-23,Công nghệ thông tin,"A00, A01, D07",19.65,7.4,2018
PTIT,Học Viện Công Nghệ Bưu Chính Viễn Thông (phía Nam),7520207,Kỹ thuật điện tử - viễn thông,"A00, A01",17,(Cơ sở đào tạo phía Nam) TTNV <= 7,2018
PTIT,Học Viện Công Nghệ Bưu Chính Viễn Thông (phía Nam),7329001,Công nghệ đa phương tiện,"A00, A01, D01",19.25,(Cơ sở đào tạo phía Nam) TTNV <= 8,2018
PTIT,Học Viện Công Nghệ Bưu Chính Viễn Thông (phía Nam),7480201,Công nghệ thông tin,"A00, A01",20.25,(Cơ sở đào tạo phía Nam) TTNV <= 8,2018
PTIT,Học Viện Công Nghệ Bưu Chính Viễn Thông (phía Nam),7340101,Quản trị kinh doanh,"A00, A01, D01",18.2,(Cơ sở đào tạo phía Nam) TTNV <= 9,2018
PTIT,Học Viện Công Nghệ Bưu Chính Viễn Thông (phía Nam),7340301,Kế toán,"A00, A01, D01",17,(Cơ sở đào tạo phía Nam)\xa0 TTNV <= 12,2018
PTIT,Học Viện Công Nghệ Bưu Chính Viễn Thông (phía Nam),7340115,Marketing,"A00, A01, D01",19.3,(Cơ sở đào tạo phía Nam)\xa0 TTNV <= 7,2018
PTIT,Học Viện Công Nghệ Bưu Chính Viễn Thông (phía Nam),7480202,An toàn thông tin,"A00, A01",19,(Cơ sở đào tạo phía Nam)\xa0TTNV <= 7,2018
PTIT,Học Viện Công Nghệ Bưu Chính Viễn Thông (phía Nam),7510301,"Công nghệ kỹ thuật điện, điện tử","A00, A01",16.5,(Cơ sở đào tạo phía Nam)TTNV <= 10,2018
PTIT,Học Viện Công Nghệ Bưu Chính Viễn Thông (Phía Bắc),7340115,Marketing,"A00, A01, D01",20.3,(Cơ sở phía Bắc)  TTNV = 1,2018
PTIT,Học Viện Công Nghệ Bưu Chính Viễn Thông (Phía Bắc),7340301,Kế toán,"A00, A01, D01",19.65,(Cơ sở phía Bắc) TTNV <= 12,2018
PTIT,Học Viện Công Nghệ Bưu Chính Viễn Thông (Phía Bắc),7340101,Quản trị kinh doanh,"A00, A01, D01",19.65,(Cơ sở phía Bắc) TTNV <= 2,2018
PTIT,Học Viện Công Nghệ Bưu Chính Viễn Thông (Phía Bắc),7480202,An toàn thông tin,"A00, A01",20.8,(Cơ sở phía Bắc) TTNV <= 2,2018
PTIT,Học Viện Công Nghệ Bưu Chính Viễn Thông (Phía Bắc),7520207,Kỹ thuật điện tử - viễn thông,"A00, A01",19.1,(Cơ sở phía Bắc) TTNV <= 3,2018
PTIT,Học Viện Công Nghệ Bưu Chính Viễn Thông (Phía Bắc),7320104,Truyền thông đa phương tiện,"A00, A01, D01",20.9,(Cơ sở phía Bắc) TTNV = 1,2018
PTIT,Học Viện Công Nghệ Bưu Chính Viễn Thông (Phía Bắc),7329001,Công nghệ đa phương tiện,"A00, A01, D01",20.75,(Cơ sở phía Bắc) TTNV = 1,2018
PTIT,Học Viện Công Nghệ Bưu Chính Viễn Thông (Phía Bắc),7340122,Thương mại điện tử,"A00, A01, D01",20.05,(Cơ sở phía Bắc) TTNV = 1,2018
PTIT,Học Viện Công Nghệ Bưu Chính Viễn Thông (Phía Bắc),7480201,Công nghệ thông tin,"A00, A01",22,(Cơ sở phía Bắc) TTNV = 1,2018
PTIT,Học Viện Công Nghệ Bưu Chính Viễn Thông (Phía Bắc),7510301,"Công nghệ kỹ thuật điện, điện tử","A00, A01",19.05,(Cơ sở phía Bắc) TTNV = 1,2018
HUFLIT,Đại Học Ngoại Ngữ – Tin Học TPHCM,7220201,Ngôn ngữ Anh,"A01, D01, D14, D15",28.75,(Điểm Tiếng Anh nhân hệ số 2),2018
HUFLIT,Đại Học Ngoại Ngữ – Tin Học TPHCM,7310206,Quan hệ quốc tế,"A01, D01, D07, D14",27.75,(Điểm Tiếng Anh nhân hệ số 2),2018
HUFLIT,Đại Học Ngoại Ngữ – Tin Học TPHCM,7340101,Quản trị kinh doanh,"A01, D01, D07, D11",26.25,(Điểm Tiếng Anh nhân hệ số 2),2018
HUFLIT,Đại Học Ngoại Ngữ – Tin Học TPHCM,7340120,Kinh doanh quốc tế,"A01, D01, D07, D11",27.75,(Điểm Tiếng Anh nhân hệ số 2),2018
UTC2,Đại Học Giao Thông Vận Tải (Cơ sở Phía Nam),GSA-13,Khai thác vận tải,"A00, A01, D01, D07",19.15,(gồm các chuyên ngành: Quy hoạch và quản lý GTVT đô thị; LogisticsTiêu chí phụ Toán 6.8 Thứ tự nguyện vọng <=3,2018
UTC,Đại Học Giao Thông Vận Tải (Cơ sở Phía Bắc),GHA-12,Kỹ thuật xây dựng,"A00, A01, D07",14.05,(gồm các chuyên ngành: Xây dựng dân dụng và công nghiệp; Kết cấu xây dựng; Kỹ thuật hạ tầng đô thị; Vật liệu và công nghệ xây dựngTiêu chí phụ Toán 5.8 Thứ tự nguyện vọng <=1,2018
TDTU,Đại Học Tôn Đức Thắng,K7310630Q,Quản lý du lịch và giải trí,"A01, D01, C00, C01",0,(song bằng 2+2) - Chương trình liên kết Đại học khoa học-công nghệ quốc gia Penghu-Đài Loan,2018
TDTU,Đại Học Tôn Đức Thắng,K7340101,Quản trị kinh doanh,"A00, A01, D01",0,(song bằng 2+2) - Chương trình liên kết Đại học kinh tế Praha-Cộng hòa Séc; Đại học Saimaa-Phần Lan,2018
TDTU,Đại Học Tôn Đức Thắng,K7340201,Tài chính,"A00, A01, D01, D07",0,(song bằng 2+2) -Chương trình liên kết Đại học Fengchia-Đài Loan,2018
TDTU,Đại Học Tôn Đức Thắng,K7340301,Kế toán,"A00, A01, D01, C01",0,"(song bằng 3+1) - Chương trình liên kết Đại học West of England, Bristol-Vương quốc Anh",2018
TLU,Đại Học Thăng Long,7460112,Toán ứng dụng,"A00, A01",15,"(Toán là môn chính, hệ số 2)",2018
TLU,Đại Học Thăng Long,7480101,Kỹ thuật xây dựng,"A00, A01",15,"(Toán là môn chính, hệ số 2)",2018
TLU,Đại Học Thăng Long,7480102,Mạng máy tính và Truyền thông dữ liệu,"A00, A01",15,"(Toán là môn chính, hệ số 2)",2018
TLU,Đại Học Thăng Long,7480104,Hệ thống thông tin,"A00, A01",15,"(Toán là môn chính, hệ số 2)",2018
NUTE,Đại Học Sư Phạm Kỹ Thuật Nam Định,7340101,Quản trị kinh doanh,"A00, A01, D01, D03",17,"+ Từ 13,0 điểm trở lên: đối với Đại học khối kỹ thuật, kinh tế.",2018
NUTE,Đại Học Sư Phạm Kỹ Thuật Nam Định,7340301,Kế toán,"A00, A01, D01, D03",17,"+ Từ 13,0 điểm trở lên: đối với Đại học khối kỹ thuật, kinh tế.",2018
NUTE,Đại Học Sư Phạm Kỹ Thuật Nam Định,7480101,Kỹ thuật xây dựng,"A00, A01, D01, D07",17,"+ Từ 13,0 điểm trở lên: đối với Đại học khối kỹ thuật, kinh tế.",2018
NUTE,Đại Học Sư Phạm Kỹ Thuật Nam Định,7480201,Công nghệ thông tin,"A00, A01, D01, D07",17,"+ Từ 13,0 điểm trở lên: đối với Đại học khối kỹ thuật, kinh tế.",2018
NUTE,Đại Học Sư Phạm Kỹ Thuật Nam Định,7510201,Công nghệ kỹ thuật cơ khí,"A00, B00, A01, D07",17,"+ Từ 13,0 điểm trở lên: đối với Đại học khối kỹ thuật, kinh tế.",2018
NUTE,Đại Học Sư Phạm Kỹ Thuật Nam Định,7510202,Công nghệ chế tạo máy,"A00, B00, A01, D07",17,"+ Từ 13,0 điểm trở lên: đối với Đại học khối kỹ thuật, kinh tế.",2018
NUTE,Đại Học Sư Phạm Kỹ Thuật Nam Định,7510205,Công nghệ kỹ thuật ô tô,"A00, B00, A01, D07",17,"+ Từ 13,0 điểm trở lên: đối với Đại học khối kỹ thuật, kinh tế.",2018
NUTE,Đại Học Sư Phạm Kỹ Thuật Nam Định,7510301,"Công nghệ kỹ thuật điện, điện tử","A00, B00, A01, D07",17,"+ Từ 13,0 điểm trở lên: đối với Đại học khối kỹ thuật, kinh tế.",2018
NUTE,Đại Học Sư Phạm Kỹ Thuật Nam Định,7510303,Công nghệ kỹ thuật điều khiển và tự động hóa,"A00, B00, A01, D07",17,"+ Từ 13,0 điểm trở lên: đối với Đại học khối kỹ thuật, kinh tế.",2018
HAUI,Đại Học Công Nghiệp Hà Nội,7340101,Quản trị kinh doanh,"A00, A01, D01",18.4,<=NV2,2018
HAUI,Đại Học Công Nghiệp Hà Nội,7340302,Khoa học máy tính,"A00, A01, D01",17.05,<=NV2,2018
HAUI,Đại Học Công Nghiệp Hà Nội,7340404,Quản trị nhân lực,"A00, A01, D01",18.8,<=NV2,2018
HAUI,Đại Học Công Nghiệp Hà Nội,7540101,Công nghệ thực phẩm,"A00, B00, D07",17,<=NV2,2018
HAUI,Đại Học Công Nghiệp Hà Nội,7810103,Quản trị dịch vụ du lịch và lữ hành,"A00, A01, D01",18.5,<=NV2,2018
HAUI,Đại Học Công Nghiệp Hà Nội,7340201,Tài chính - Ngân hàng,"A00, A01, D01",18.25,<=NV3,2018
HAUI,Đại Học Công Nghiệp Hà Nội,7340301,Kế toán,"A00, A01, D01",18.2,<=NV3,2018
