university_code,university_name,major_code,major_name,subject_group,point,note,year
HU-CA,CA - Đại Học Nghệ Thuật – Đại Học Huế,7580108,Thiết kế nội thất,H00,18,Điểm thi TN THPT,2021
HU-CA,CA - Đại Học Nghệ Thuật – Đại Học Huế,7210404,Thiết kế thời trang,H00,18,Điểm thi TN THPT,2021
HU-CA,CA - Đại Học Nghệ Thuật – Đại Học Huế,7210403,Thiết kế đồ họa,H00,18,Điểm thi TN THPT,2021
HU-CA,CA - Đại Học Nghệ Thuật – Đại Học Huế,7140222,Sư phạm Mỹ thuật,H00,18,Điểm thi TN THPT,2021
HU-CA,CA - Đại Học Nghệ Thuật – Đại Học Huế,7210105,Điêu khắc,H00,18,Điểm thi TN THPT,2021
HU-CA,CA - Đại Học Nghệ Thuật – Đại Học Huế,7210103,Hội hoạ,H00,18,Điểm thi TN THPT,2021
AGU,Đại Học An Giang,7310106,Kinh tế,"A00, A01, D01, C15",17,Kinh tế quốc tếĐiểm thi TN THPT,2021
AGU,Đại Học An Giang,7540101,Công nghệ thực phẩm,"A00, B00, A01, A18, XDHB",18,Học bạ,2021
AGU,Đại Học An Giang,7620301,Nuôi trồng thuỷ sản,"A00, B00, A01, A18, XDHB",18,Học bạ,2021
AGU,Đại Học An Giang,7480103,Kỹ thuật phần mềm,"A00, A01, D01, C01, XDHB",18,Học bạ,2021
AGU,Đại Học An Giang,7620116,Phát triển nông thôn,"A00, B00, A01, A18, XDHB",18,Học bạ,2021
AGU,Đại Học An Giang,7140205,Giáo dục Chính trị,"D01, C00, D66, C13, XDHB",18,Học bạ,2021
AGU,Đại Học An Giang,7340201,Tài chính - Ngân hàng,"A00, A01, D01, C15, XDHB",18,Học bạ,2021
AGU,Đại Học An Giang,7620110,Khoa học cây trồng,"A00, B00, A01, A18, XDHB",18,Học bạ,2021
AGU,Đại Học An Giang,7420201,Công nghệ sinh học,"A00, B00, A01, A18, XDHB",18,Học bạ,2021
AGU,Đại Học An Giang,7140231,Sư phạm Tiếng Anh,"A01, D01, D14, D09, XDHB",18,Học bạ,2021
AGU,Đại Học An Giang,7140218,Sư phạm Lịch sử,"C00, D14, C19, D09, XDHB",18,Học bạ,2021
AGU,Đại Học An Giang,7140209,Sư phạm Toán học,"A00, A01, D01, C01, XDHB",18,Học bạ,2021
AGU,Đại Học An Giang,7140219,Sư phạm Địa lý,"C00, C04, A09, D10, XDHB",18,Học bạ,2021
AGU,Đại Học An Giang,7140217,Sư phạm Ngữ văn,"D01, C00, D14, D15, XDHB",18,Học bạ,2021
AGU,Đại Học An Giang,7310106,Kinh tế,"A00, A01, D01, C15, XDHB",18,Học bạ,2021
AGU,Đại Học An Giang,7140212,Sư phạm Hóa học,"A00, B00, D07, C02, XDHB",18,Học bạ,2021
AGU,Đại Học An Giang,7140211,Sư phạm Vật lý,"A00, A01, C01, C05, XDHB",18,Học bạ,2021
AGU,Đại Học An Giang,7310630,Việt Nam học,"A01, D01, C00, C04, XDHB",18,Học bạ,2021
AGU,Đại Học An Giang,7220201,Ngôn ngữ Anh,"A01, D01, D14, D09, XDHB",18,Học bạ,2021
AGU,Đại Học An Giang,7229001,Triết học,"A01, D01, C00, C01, XDHB",18,Học bạ,2021
AGU,Đại Học An Giang,7620105,Chăn nuôi,"A00, B00, A01, A18, XDHB",18,Học bạ,2021
AGU,Đại Học An Giang,7340301,Kế toán,"A00, A01, D01, C15, XDHB",18,Học bạ,2021
AGU,Đại Học An Giang,7229030,Văn học,"D01, C00, D14, D15, XDHB",18,Học bạ,2021
AGU,Đại Học An Giang,7480201,Công nghệ thông tin,"A00, A01, D01, C01, XDHB",19,Học bạ,2021
AGU,Đại Học An Giang,7850101,Quản lý tài nguyên và môi trường,"A00, B00, A01, D07, XDHB",20,Học bạ,2021
AGU,Đại Học An Giang,7620112,Bảo vệ thực vật,"A00, B00, A01, A18, XDHB",20,Học bạ,2021
AGU,Đại Học An Giang,7380101,Luật,"A01, D01, C00, C01, XDHB",20,Học bạ,2021
AGU,Đại Học An Giang,7510406,Công nghệ kỹ thuật môi trường,"A00, B00, A01, A18, XDHB",21,Học bạ,2021
AGU,Đại Học An Giang,7340101,Quản trị kinh doanh,"A00, A01, D01, C15, XDHB",22.5,Học bạ,2021
AGU,Đại Học An Giang,7340115,Marketing,"A00, A01, D01, C15, XDHB",22.5,Học bạ,2021
AGU,Đại Học An Giang,7510401,Công nghệ kỹ thuật hoá học,"A00, B00, A01, A18, XDHB",23,Học bạ,2021
AGU,Đại Học An Giang,7850101,Quản lý tài nguyên và môi trường,"A00, B00, A01, A18",16,Điểm thi TN THPT,2021
AGU,Đại Học An Giang,7510406,Công nghệ kỹ thuật môi trường,"A00, B00, A01, A18",16,Điểm thi TN THPT,2021
AGU,Đại Học An Giang,7510401,Công nghệ kỹ thuật hoá học,"A00, B00, A01, A18",16,Điểm thi TN THPT,2021
AGU,Đại Học An Giang,7540101,Công nghệ thực phẩm,"A00, B00, A01, A18",16,Điểm thi TN THPT,2021
AGU,Đại Học An Giang,7620301,Nuôi trồng thuỷ sản,"A00, B00, A01, A18",16,Điểm thi TN THPT,2021
AGU,Đại Học An Giang,7480103,Kỹ thuật phần mềm,"A00, A01, D01, C01",16,Điểm thi TN THPT,2021
AGU,Đại Học An Giang,7620116,Phát triển nông thôn,"A00, B00, A01, A18",16,Điểm thi TN THPT,2021
AGU,Đại Học An Giang,7620112,Bảo vệ thực vật,"A00, B00, A01, A18",16,Điểm thi TN THPT,2021
AGU,Đại Học An Giang,7620110,Khoa học cây trồng,"A00, B00, A01, A18",16,Điểm thi TN THPT,2021
AGU,Đại Học An Giang,7420201,Công nghệ sinh học,"A00, B00, A01, A18",16,Điểm thi TN THPT,2021
AGU,Đại Học An Giang,7229001,Triết học,"A01, D01, C00, C01",16,Điểm thi TN THPT,2021
AGU,Đại Học An Giang,7620105,Chăn nuôi,"A00, B00, A01, A18",16,Điểm thi TN THPT,2021
AGU,Đại Học An Giang,7229030,Văn học,"D01, C00, D14, D15",16,Điểm thi TN THPT,2021
AGU,Đại Học An Giang,7310630,Việt Nam học,"A01, D01, C00, C04",16.5,Điểm thi TN THPT,2021
AGU,Đại Học An Giang,7220201,Ngôn ngữ Anh,"A01, D01, D14, D09",17.5,Điểm thi TN THPT,2021
AGU,Đại Học An Giang,7140205,Giáo dục Chính trị,"D01, C00, D66, C13",19,Điểm thi TN THPT,2021
AGU,Đại Học An Giang,7480201,Công nghệ thông tin,"A00, A01, D01, C01",19,Điểm thi TN THPT,2021
AGU,Đại Học An Giang,7140201,Giáo dục Mầm non,"M02, M03, M05, M06",19,Điểm thi TN THPT,2021
AGU,Đại Học An Giang,7140212,Sư phạm Hóa học,"A00, B00, D07, C02",19,Điểm thi TN THPT,2021
AGU,Đại Học An Giang,7140211,Sư phạm Vật lý,"A00, A01, C01, C05",19,Điểm thi TN THPT,2021
AGU,Đại Học An Giang,7140202,Giáo dục Tiểu học,"A00, A01, D01, C00",20,Điểm thi TN THPT,2021
AGU,Đại Học An Giang,7140218,Sư phạm Lịch sử,"C00, D14, C19, D09",20,Điểm thi TN THPT,2021
AGU,Đại Học An Giang,7140219,Sư phạm Địa lý,"C00, C04, A09, D10",20,Điểm thi TN THPT,2021
AGU,Đại Học An Giang,7340201,Tài chính - Ngân hàng,"A00, A01, D01, C15",20.5,Điểm thi TN THPT,2021
AGU,Đại Học An Giang,7340301,Kế toán,"A00, A01, D01, C15",21.5,Điểm thi TN THPT,2021
AGU,Đại Học An Giang,7140209,Sư phạm Toán học,"A00, A01, D01, C01",22,Điểm thi TN THPT,2021
AGU,Đại Học An Giang,7140217,Sư phạm Ngữ văn,"D01, C00, D14, D15",22,Điểm thi TN THPT,2021
AGU,Đại Học An Giang,7140231,Sư phạm Tiếng Anh,"A01, D01, D14, D09",22.5,Điểm thi TN THPT,2021
