Mã Trường,Tên Trường,Mã Ngành,Tên Ngành,Điểm chuẩn,Ghi chú,Năm,subject_group
HCMUTE,Đại Học Sư Phạm Kỹ Thuật TPHCM,7510302N,Công nghệ kỹ thuật điện tử - viễn thông,19.0,Chât lượng cao Việt - Nhật;  Đánh giá năng lực Đại học Quốc gia TPHCM,2018,DGNLHCM
HCMUTE,Đại Học Sư Phạm Kỹ Thuật TPHCM,7510202N,Công nghệ chế tạo máy,18.0,Chất lượng cao Việt - Nhật; Đánh giá năng lực Đại học Quốc gia TPHCM,2018,DGNLHCM
HCMUTE,Đại Học Sư Phạm Kỹ Thuật TPHCM,7480108A,Công nghệ kỹ thuật máy tính,23.25,CLC tiếng Anh; Đánh giá năng lực Đại học Quốc gia TPHCM,2018,DGNLHCM
HCMUTE,Đại Học Sư Phạm Kỹ Thuật TPHCM,7480201A,Công nghệ thông tin,23.5,CLC tiếng Anh; Đánh giá năng lực Đại học Quốc gia TPHCM,2018,DGNLHCM
HCMUTE,Đại Học Sư Phạm Kỹ Thuật TPHCM,7510102A,Công nghệ kỹ thuật công trình xây dựng,18.0,CLC tiếng Anh; Đánh giá năng lực Đại học Quốc gia TPHCM,2018,DGNLHCM
HCMUTE,Đại Học Sư Phạm Kỹ Thuật TPHCM,7510201A,Công nghệ kỹ thuật cơ khí,22.0,CLC tiếng Anh; Đánh giá năng lực Đại học Quốc gia TPHCM,2018,DGNLHCM
HCMUTE,Đại Học Sư Phạm Kỹ Thuật TPHCM,7510202A,Công nghệ chế tạo máy,19.5,CLC tiếng Anh; Đánh giá năng lực Đại học Quốc gia TPHCM,2018,DGNLHCM
HCMUTE,Đại Học Sư Phạm Kỹ Thuật TPHCM,7510203A,Công nghệ kỹ thuật cơ điện tử,22.75,CLC tiếng Anh; Đánh giá năng lực Đại học Quốc gia TPHCM,2018,DGNLHCM
HCMUTE,Đại Học Sư Phạm Kỹ Thuật TPHCM,7510205A,Công nghệ kỹ thuật ô tô,21.75,CLC tiếng Anh; Đánh giá năng lực Đại học Quốc gia TPHCM,2018,DGNLHCM
HCMUTE,Đại Học Sư Phạm Kỹ Thuật TPHCM,7510206A,Công nghệ Kỹ thuật Nhiệt (Cơ điện lạnh),20.0,CLC tiếng Anh; Đánh giá năng lực Đại học Quốc gia TPHCM,2018,DGNLHCM
HCMUTE,Đại Học Sư Phạm Kỹ Thuật TPHCM,7510301A,"Công nghệ kỹ thuật điện, điện tử",22.0,CLC tiếng Anh; Đánh giá năng lực Đại học Quốc gia TPHCM,2018,DGNLHCM
HCMUTE,Đại Học Sư Phạm Kỹ Thuật TPHCM,7510302A,Công nghệ kỹ thuật điện tử - viễn thông,18.75,CLC tiếng Anh; Đánh giá năng lực Đại học Quốc gia TPHCM,2018,DGNLHCM
HCMUTE,Đại Học Sư Phạm Kỹ Thuật TPHCM,7510303A,Công nghệ kỹ thuật điều khiển và tự động hóa,22.75,CLC tiếng Anh; Đánh giá năng lực Đại học Quốc gia TPHCM,2018,DGNLHCM
HCMUTE,Đại Học Sư Phạm Kỹ Thuật TPHCM,7510601A,Quản lý công nghiệp,21.75,CLC tiếng Anh; Đánh giá năng lực Đại học Quốc gia TPHCM,2018,DGNLHCM
HCMUTE,Đại Học Sư Phạm Kỹ Thuật TPHCM,7540101A,Công nghệ thực phẩm,20.0,CLC tiếng Anh; Đánh giá năng lực Đại học Quốc gia TPHCM,2018,DGNLHCM
HCMUTE,Đại Học Sư Phạm Kỹ Thuật TPHCM,7340122C,Thương mại điện tử,23.75,CLC tiếng Việt; Đánh giá năng lực Đại học Quốc gia TPHCM,2018,DGNLHCM
HCMUTE,Đại Học Sư Phạm Kỹ Thuật TPHCM,7340301C,Kế toán,20.75,CLC tiếng Việt; Đánh giá năng lực Đại học Quốc gia TPHCM,2018,DGNLHCM
HCMUTE,Đại Học Sư Phạm Kỹ Thuật TPHCM,7480108C,Công nghệ kỹ thuật máy tính,22.5,CLC tiếng Việt; Đánh giá năng lực Đại học Quốc gia TPHCM,2018,DGNLHCM
HCMUTE,Đại Học Sư Phạm Kỹ Thuật TPHCM,7480201C,Công nghệ thông tin,23.25,CLC tiếng Việt; Đánh giá năng lực Đại học Quốc gia TPHCM,2018,DGNLHCM
HCMUTE,Đại Học Sư Phạm Kỹ Thuật TPHCM,7510102C,Công nghệ kỹ thuật công trình xây dựng,20.25,CLC tiếng Việt; Đánh giá năng lực Đại học Quốc gia TPHCM,2018,DGNLHCM
HCMUTE,Đại Học Sư Phạm Kỹ Thuật TPHCM,7510201C,Công nghệ kỹ thuật cơ khí,21.25,CLC tiếng Việt; Đánh giá năng lực Đại học Quốc gia TPHCM,2018,DGNLHCM
HCMUTE,Đại Học Sư Phạm Kỹ Thuật TPHCM,7510202C,Công nghệ chế tạo máy,18.5,CLC tiếng Việt; Đánh giá năng lực Đại học Quốc gia TPHCM,2018,DGNLHCM
HCMUTE,Đại Học Sư Phạm Kỹ Thuật TPHCM,7510203C,Công nghệ kỹ thuật cơ điện tử,22.0,CLC tiếng Việt; Đánh giá năng lực Đại học Quốc gia TPHCM,2018,DGNLHCM
HCMUTE,Đại Học Sư Phạm Kỹ Thuật TPHCM,7510205C,Công nghệ kỹ thuật ô tô,21.0,CLC tiếng Việt; Đánh giá năng lực Đại học Quốc gia TPHCM,2018,DGNLHCM
HCMUTE,Đại Học Sư Phạm Kỹ Thuật TPHCM,7510206C,Công nghệ Kỹ thuật Nhiệt (Cơ điện lạnh),19.0,CLC tiếng Việt; Đánh giá năng lực Đại học Quốc gia TPHCM,2018,DGNLHCM
HCMUTE,Đại Học Sư Phạm Kỹ Thuật TPHCM,7510301C,"Công nghệ kỹ thuật điện, điện tử",21.25,CLC tiếng Việt; Đánh giá năng lực Đại học Quốc gia TPHCM,2018,DGNLHCM
HCMUTE,Đại Học Sư Phạm Kỹ Thuật TPHCM,7510302C,Công nghệ kỹ thuật điện tử - viễn thông,21.25,CLC tiếng Việt; Đánh giá năng lực Đại học Quốc gia TPHCM,2018,DGNLHCM
HCMUTE,Đại Học Sư Phạm Kỹ Thuật TPHCM,7510303C,Công nghệ kỹ thuật điều khiển và tự động hóa,22.25,CLC tiếng Việt; Đánh giá năng lực Đại học Quốc gia TPHCM,2018,DGNLHCM
HCMUTE,Đại Học Sư Phạm Kỹ Thuật TPHCM,7510401C,Công nghệ kỹ thuật hoá học,21.75,CLC tiếng Việt; Đánh giá năng lực Đại học Quốc gia TPHCM,2018,DGNLHCM
