Mã Trường,Tên Trường,Mã Ngành,Tên Ngành,Điểm chuẩn,Ghi chú,Năm,subject_group
HCMUTE,Đại Học Sư Phạm Kỹ Thuật TPHCM,7510302N,Công nghệ kỹ thuật điện tử - viễn thông,21.5,Chât lượng cao Việt - Nhật; Học bạ,2018,A00
HCMUTE,Đại Học Sư Phạm Kỹ Thuật TPHCM,7510302N,Công nghệ kỹ thuật điện tử - viễn thông,21.5,Chât lượng cao Việt - Nhật; Học bạ,2018,A01
HCMUTE,Đại Học Sư Phạm Kỹ Thuật TPHCM,7510302N,Công nghệ kỹ thuật điện tử - viễn thông,21.5,Chât lượng cao Việt - Nhật; Học bạ,2018,D01
HCMUTE,Đại Học Sư Phạm Kỹ Thuật TPHCM,7510302N,Công nghệ kỹ thuật điện tử - viễn thông,21.5,Chât lượng cao Việt - Nhật; Học bạ,2018,D90
HCMUTE,Đại Học Sư Phạm Kỹ Thuật TPHCM,7510202N,Công nghệ chế tạo máy,22.0,Chất lượng cao Việt - Nhật; Học bạ,2018,A00
HCMUTE,Đại Học Sư Phạm Kỹ Thuật TPHCM,7510202N,Công nghệ chế tạo máy,22.0,Chất lượng cao Việt - Nhật; Học bạ,2018,A01
HCMUTE,Đại Học Sư Phạm Kỹ Thuật TPHCM,7510202N,Công nghệ chế tạo máy,22.0,Chất lượng cao Việt - Nhật; Học bạ,2018,D01
HCMUTE,Đại Học Sư Phạm Kỹ Thuật TPHCM,7510202N,Công nghệ chế tạo máy,22.0,Chất lượng cao Việt - Nhật; Học bạ,2018,D90
HCMUTE,Đại Học Sư Phạm Kỹ Thuật TPHCM,7480108A,Công nghệ kỹ thuật máy tính,26.0,CLC tiếng Anh; Học bạ,2018,A00
HCMUTE,Đại Học Sư Phạm Kỹ Thuật TPHCM,7480108A,Công nghệ kỹ thuật máy tính,26.0,CLC tiếng Anh; Học bạ,2018,A01
HCMUTE,Đại Học Sư Phạm Kỹ Thuật TPHCM,7480108A,Công nghệ kỹ thuật máy tính,26.0,CLC tiếng Anh; Học bạ,2018,D01
HCMUTE,Đại Học Sư Phạm Kỹ Thuật TPHCM,7480108A,Công nghệ kỹ thuật máy tính,26.0,CLC tiếng Anh; Học bạ,2018,D90
HCMUTE,Đại Học Sư Phạm Kỹ Thuật TPHCM,7480201A,Công nghệ thông tin,28.0,CLC tiếng Anh; Học bạ,2018,A00
HCMUTE,Đại Học Sư Phạm Kỹ Thuật TPHCM,7480201A,Công nghệ thông tin,28.0,CLC tiếng Anh; Học bạ,2018,A01
HCMUTE,Đại Học Sư Phạm Kỹ Thuật TPHCM,7480201A,Công nghệ thông tin,28.0,CLC tiếng Anh; Học bạ,2018,D01
HCMUTE,Đại Học Sư Phạm Kỹ Thuật TPHCM,7480201A,Công nghệ thông tin,28.0,CLC tiếng Anh; Học bạ,2018,D90
HCMUTE,Đại Học Sư Phạm Kỹ Thuật TPHCM,7510102A,Công nghệ kỹ thuật công trình xây dựng,20.25,CLC tiếng Anh; Học bạ,2018,A00
HCMUTE,Đại Học Sư Phạm Kỹ Thuật TPHCM,7510102A,Công nghệ kỹ thuật công trình xây dựng,20.25,CLC tiếng Anh; Học bạ,2018,A01
HCMUTE,Đại Học Sư Phạm Kỹ Thuật TPHCM,7510102A,Công nghệ kỹ thuật công trình xây dựng,20.25,CLC tiếng Anh; Học bạ,2018,D01
HCMUTE,Đại Học Sư Phạm Kỹ Thuật TPHCM,7510102A,Công nghệ kỹ thuật công trình xây dựng,20.25,CLC tiếng Anh; Học bạ,2018,D90
HCMUTE,Đại Học Sư Phạm Kỹ Thuật TPHCM,7510201A,Công nghệ kỹ thuật cơ khí,23.0,CLC tiếng Anh; Học bạ,2018,A00
HCMUTE,Đại Học Sư Phạm Kỹ Thuật TPHCM,7510201A,Công nghệ kỹ thuật cơ khí,23.0,CLC tiếng Anh; Học bạ,2018,A01
HCMUTE,Đại Học Sư Phạm Kỹ Thuật TPHCM,7510201A,Công nghệ kỹ thuật cơ khí,23.0,CLC tiếng Anh; Học bạ,2018,D01
HCMUTE,Đại Học Sư Phạm Kỹ Thuật TPHCM,7510201A,Công nghệ kỹ thuật cơ khí,23.0,CLC tiếng Anh; Học bạ,2018,D90
HCMUTE,Đại Học Sư Phạm Kỹ Thuật TPHCM,7510202A,Công nghệ chế tạo máy,20.25,CLC tiếng Anh; Học bạ,2018,A00
HCMUTE,Đại Học Sư Phạm Kỹ Thuật TPHCM,7510202A,Công nghệ chế tạo máy,20.25,CLC tiếng Anh; Học bạ,2018,A01
HCMUTE,Đại Học Sư Phạm Kỹ Thuật TPHCM,7510202A,Công nghệ chế tạo máy,20.25,CLC tiếng Anh; Học bạ,2018,D01
HCMUTE,Đại Học Sư Phạm Kỹ Thuật TPHCM,7510202A,Công nghệ chế tạo máy,20.25,CLC tiếng Anh; Học bạ,2018,D90
HCMUTE,Đại Học Sư Phạm Kỹ Thuật TPHCM,7510203A,Công nghệ kỹ thuật cơ điện tử,24.0,CLC tiếng Anh; Học bạ,2018,A00
HCMUTE,Đại Học Sư Phạm Kỹ Thuật TPHCM,7510203A,Công nghệ kỹ thuật cơ điện tử,24.0,CLC tiếng Anh; Học bạ,2018,A01
HCMUTE,Đại Học Sư Phạm Kỹ Thuật TPHCM,7510203A,Công nghệ kỹ thuật cơ điện tử,24.0,CLC tiếng Anh; Học bạ,2018,D01
