Mã nhóm ngành,Mã ngành,
71401,GD3,
71402,GD1,
71402,HVN22,
71402,GD2,
71402,GD2,
71402,GD2,
71402,GD1,
71402,GD1,
71402,GD1,
71402,GD3,
71402,GD3,
71402,GD1,
73101,EP13,
73401,TC3,
73401,TC4,
73401,QHQ05,
73401,EM-E13y,
73401,EP05,
73401,EP06,
73403,QHQ02,
73490,QHQ07,
73490,EP01,
74290,POHE7,
74802,HVN08,
74890,ET-E9y,
74890,QHT40,
74890,QHT90,
74890,QHT98,
74890,EE-EPy,
76203,HVN24,
78102,K7340101N,
78501,QHT97,
78501,EE-E18y,
7140103,ED2y,
7140103,ED2,
7140201,GD5,
7140202,GD4,
7210403,F7210403,
7220104,QHX06,
7220201,D125,
7220201,F7220201,
7220201,FA7220201,
7220201,FLE1,
7220201,HQT02,
7220201,HVN17,
7220201,N7220201,
7220201,NTH04,
7220201,QHQ09,
7220201,TLA203,
7220201,TLS203,
7220201,TM18,
7220201,FL2y,
7220201,FL1y,
7220201,D124,
7220201,FL01,
7220201,FL1,
7220201,FL2,
7220203,FLF1,
7220203,NTH05,
7220204,FLC1,
7220204,NTH06,
7220204,TLA204,
7220209,FLJ1,
7220209,NTH07,
7220210,FLK1,
7229001,QHX22,
7229009,QHX21,
7229010,QHX08,
7229020,QHX10,
7229030,QHX23,
7229040,QHX27,
7310101,A408,
7310101,D401,
7310101,D410,
7310101,GSA-08,
7310101,GSA-09,
7310101,GSA-10,
7310101,GTADCKX1,
7310101,H401,
7310101,HQT03,
7310101,NTH09,
7310101,NTS01,
7310101,QHE01,
7310101,QHE43,
7310101,QHE44,
7310101,QHE45,
7310101,TC12,
7310101,TLA401,
7310101,TM12,
7310101,TM33,
7310101,527,
7310101,528,
7310104,ECON01,
7310106,NTH01,
7310106,NTH01-02,
7310106,TC1,
7310106,TC1-1,
7310106,TC2,
7310106,TC2-1,
7310109,TLA410,
7310201,QHX02,
7310201,529,
7310201,530,
7310201,531,
7310201,533,
7310201,535,
7310201,536,
7310201,538,
7310202,522,
7310205,532,
7310205,537,
7310206,HQT01,
7310206,610,
7310206,611,
7310206,614,
7310301,HVN25,
7310301,QHX25,
7310302,QHX11,
7310401,QHX19,
7310601,QHX18,
7310601,QHX43,
7310608,FOS1,
7310608,QHX05,
7310612,HQT01-04,
7310612,HQT08-04,
7310613,HQT01-03,
7310613,HQT08-03,
7310613,QHX12,
7310614,HQT08-01,
7310614,QHX26,
7310620,QHX04,
7310630,F7310630Q,
7310630,FA7310630Q,
7310630,N7310630,
7310630,QHX24,
7320101,QHX01,
7320101,QHX40,
7320101,602,
7320101,603,
7320101,604,
7320101,605,
7320101,606,
7320101,607,
7320101,608,
7320101,609,
7320104,ET-E16y,
7320104,D119,
7320105,POHE3,
7320107,HQT05,
7320108,QHX13,
7320108,615,
7320108,616,
7320201,QHX20,
7320205,QHX14,
7320205,QHX42,
7320303,QHX09,
7320401,801,
7320401,802,
7340101,TC13,
7340101,A403,
7340101,GTADCQT2,
7340101,D403,
7340101,EBBA,
7340101,EM3y,
7340101,EM-VUW,
7340101,F7340101,
7340101,F7340101N,
7340101,FA7340101N,
7340101,FBE1,
7340101,GSA-12,
7340101,GTADCQT221,
7340101,K7340101,
7340101,N7340101N,
7340101,QHE40,
7340101,QHE80,
7340101,QHE89,
7340101,TLA402,
7340101,TLS402,
7340101,TM01,
7340101,TM02,
7340101,TM03,
7340101,TM20,
7340101,TROY-BAy,
7340101,GTADCQM2,
7340101,GTADCQM221,
7340101,BUS01,
7340101,BUS02,
7340101,BUS04,
7340101,EM3,
7340101,EM-E13,
7340101,EM-E13y,
7340101,POHE5,
7340101,POHE6,
