Mã nhóm ngành,Nhóm ngành,Mã phân ngành,Phân ngành,Mã xét tuyển,Tên Ngành
748,Máy tính và công nghệ thông tin,74802,Công nghệ thông tin,TLA127,An ninh mạng
748,Máy tính và công nghệ thông tin,74802,Công nghệ thông tin,7480202,An ninh mạng
748,Máy tính và công nghệ thông tin,74802,Công nghệ thông tin,IT-E15,An toàn không gian số
748,Máy tính và công nghệ thông tin,74802,Công nghệ thông tin,7480202D,An toàn thông tin
748,Máy tính và công nghệ thông tin,74802,Công nghệ thông tin,7480201-3,An toàn thông tin
748,Máy tính và công nghệ thông tin,74802,Công nghệ thông tin,7480201,An toàn thông tin
748,Máy tính và công nghệ thông tin,74802,Công nghệ thông tin,7480202,An toàn thông tin
748,Máy tính và công nghệ thông tin,74802,Công nghệ thông tin,7480202KMA,An toàn thông tin
748,Máy tính và công nghệ thông tin,74802,Công nghệ thông tin,7480202_CLCA,An toàn thông tin
748,Máy tính và công nghệ thông tin,74802,Công nghệ thông tin,7480202KMP,An toàn thông tin
748,Máy tính và công nghệ thông tin,74802,Công nghệ thông tin,7480201_A,An toàn thông tin
785,Môi trường và bảo vệ môi trường,78502,Dịch vụ an toàn lao động và vệ sinh công nghiệp,7850202,"An toàn, Vệ sinh lao động"
786,"An ninh, Quốc phòng",78602,Quân sự,7860214,Biên phòng
721,Nghệ thuật,72102,Nghệ thuật trình diễn,7210243,Biên đạo múa
744,Khoa học tự nhiên,74402,Khoa học trái đất,7440298,Biến đổi khí hậu và Phát triển bền vững
721,Nghệ thuật,72102,Nghệ thuật trình diễn,7210207,Biểu diễn nhạc cụ phương Tây
721,Nghệ thuật,72102,Nghệ thuật trình diễn,7210210,Biểu diễn nhạc cụ truyền thống
772,Sức khỏe,77205,Răng - Hàm - Mặt (Nha khoa),7720501,Bác sĩ Răng - Hàm - Mặt
732,Báo chí và thông tin,73201,Báo chí và truyền thông,7320101_CLC,Báo chí
732,Báo chí và thông tin,73201,Báo chí và truyền thông,603,Báo chí
732,Báo chí và thông tin,73201,Báo chí và truyền thông,602,Báo chí
732,Báo chí và thông tin,73201,Báo chí và truyền thông,7320101CLC,Báo chí
732,Báo chí và thông tin,73201,Báo chí và truyền thông,QHX01,Báo chí
732,Báo chí và thông tin,73201,Báo chí và truyền thông,609,Báo chí
732,Báo chí và thông tin,73201,Báo chí và truyền thông,608,Báo chí
732,Báo chí và thông tin,73201,Báo chí và truyền thông,QHX40,Báo chí
732,Báo chí và thông tin,73201,Báo chí và truyền thông,7320101,Báo chí
732,Báo chí và thông tin,73201,Báo chí và truyền thông,606,Báo chí
732,Báo chí và thông tin,73201,Báo chí và truyền thông,7320101_BT,Báo chí
732,Báo chí và thông tin,73201,Báo chí và truyền thông,605,Báo chí
732,Báo chí và thông tin,73201,Báo chí và truyền thông,607,Báo chí
732,Báo chí và thông tin,73201,Báo chí và truyền thông,604,Báo chí
744,Khoa học tự nhiên,74402,Khoa học trái đất,7440212,Bản đồ học
