url,university_code,university_name,province,region,admission_code,institution_type
https://huongnghiep.hocmai.vn/diem-truong/hoc-vien-ky-thuat-mat-ma/,ACT,Học Viện Kỹ Thuật Mật Mã,Hà Nội,Miền Bắc,KMA,Công lập
https://huongnghiep.hocmai.vn/diem-truong/hoc-vien-phong-khong-khong-quan/,ADAFA,Học Viện Phòng Không – Không Quân,Hà Nội,Miền Bắc,PKH,Công lập
https://huongnghiep.hocmai.vn/diem-truong/truong-si-quan-khong-quan-he-dai-hoc/,AFOC,Trường Sĩ Quan Không Quân - Hệ Đại học,Khánh Hoà,Miền Trung - Tây Nguyên,KGH,Công lập
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-an-giang/,AGU,Đại Học An Giang,An Giang,Miền Nam,QSA,Công lập
https://huongnghiep.hocmai.vn/diem-truong/hoc-vien-bao-chi-tuyen-truyen/,AJC,Học Viện Báo Chí – Tuyên Truyền,Hà Nội,Miền Bắc,HBT,Công lập
https://huongnghiep.hocmai.vn/diem-truong/hoc-vien-tai-chinh/,AOF,Học Viện Tài Chính,Hà Nội,Miền Bắc,HTC,Công lập
https://huongnghiep.hocmai.vn/diem-truong/hoc-vien-chinh-sach-va-phat-trien/,APD,Học Viện Chính Sách và Phát Triển,Hà Nội,Miền Bắc,HCP,Công lập
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-my-thuat-cong-nghiep-a-chau/,AUAD,Đại Học Mỹ Thuật Công Nghiệp Á Châu,Hồ Chí Minh,Miền Nam,MCA,Dân lập
https://huongnghiep.hocmai.vn/diem-truong/hoc-vien-ngan-hang-phan-vien-bac-ninh/,BA,Học Viện Ngân Hàng Phân Viện Bắc Ninh,Bắc Ninh,Miền Bắc,NHH,Công lập
https://huongnghiep.hocmai.vn/diem-truong/hoc-vien-ngan-hang/,BA,Học Viện Ngân Hàng,Hà Nội,Miền Bắc,NHH,Công lập
https://huongnghiep.hocmai.vn/diem-truong/hoc-vien-ngan-hang-phan-vien-phu-yen/,BA,Học Viên Ngân Hàng ( Phân Viện Phú Yên ),Phú Yên ,Miền Trung - Tây Nguyên,NHP,Công lập
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-nong-lam-bac-giang/,BAFU,Đại học Nông Lâm Bắc Giang,Bắc Giang,Miền Bắc,DBG,Công lập
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-binh-duong/,BDU,Đại Học Bình Dương,Bình Dương,Miền Nam,DBD,Dân lập
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-kinh-te-ky-thuat-binh-duong/,BETU,Đại Học Kinh Tế Kỹ Thuật Bình Dương,Bình Dương,Miền Nam,DKB,Dân lập
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-quoc-te-bac-ha/,BHIU,Đại Học Quốc Tế Bắc Hà,Bắc Ninh,Miền Bắc,DBH,Dân lập
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-bac-lieu/,BLU,Đại Học Bạc Liêu,Bạc Liêu,Miền Nam,DBL,Công lập
