url,university_code,university_name
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-kinh-te-cong-nghe-thai-nguyen/,VBU,Công nghệ Thái Nguyên
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-an-giang/,AGU,Đại Học An Giang
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-an-ninh-nhan-dan/,VPSU,Đại Học An Ninh Nhân Dân
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-anh-quoc-viet-nam/,BUV,Đại Học Anh Quốc Việt Nam
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-ba-ria-vung-tau/,BVU,Đại Học Bà Rịa – Vũng Tàu
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-bac-lieu/,BLU,Đại Học Bạc Liêu
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-bach-khoa-dai-hoc-da-nang/,DUT,Đại Học Bách Khoa – Đại Học Đà Nẵng
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-bach-khoa-dai-hoc-quoc-gia-tphcm/,VNUHCM-UT,Đại Học Bách Khoa – Đại Học Quốc Gia TPHCM
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-bach-khoa-ha-noi/,HUST,Đại Học Bách Khoa Hà Nội
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-binh-duong/,BDU,Đại Học Bình Dương
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-can-tho/,CTU,Đại Học Cần Thơ
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-canh-sat-nhan-dan/,PPU,Đại Học Cảnh Sát Nhân Dân
https://huongnghiep.hocmai.vn/diem-truong/truong-si-quan-chinh-tri-dai-hoc-chinh-tri/,POC,Đại Học Chính Trị
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-chu-van-an/,CVAUNI,Đại Học Chu Văn An
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-cmc/,CMC,Đại học CMC
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-cong-doan/,TUU,Đại Học Công Đoàn
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-cong-nghe-dai-hoc-quoc-gia-ha-noi/,UET,Đại Học Công Nghệ – Đại Học Quốc Gia Hà Nội
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-cong-nghe-dong-a/,EAUT,Đại Học Công Nghệ Đông Á
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-cong-nghe-dong-nai/,DNTU,Đại Học Công Nghệ Đồng Nai
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-cong-nghe-giao-thong-van-tai/,UTT,Đại học Công nghệ Giao thông vận tải
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-cong-nghe-mien-dong/,MUT,Đại học Công nghệ Miền Đông
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-cong-nghe-sai-gon/,STU,Đại Học Công Nghệ Sài Gòn
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-cong-nghe-thong-tin-dai-hoc-quoc-gia-tphcm/,VNUHCM - UIT,Đại Học Công Nghệ Thông Tin – Đại Học Quốc Gia TPHCM
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-cong-nghe-thong-tin-va-truyen-thong-dai-hoc-thai-nguyen/,ICTU,Đại học Công Nghệ Thông Tin và Truyền Thông – Đại Học Thái Nguyên
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-cong-nghe-tphcm/,HUTECH,Đại học Công Nghệ TPHCM
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-cong-nghe-va-quan-ly-huu-nghi/,UTM,Đại Học Công Nghệ và Quản Lý Hữu Nghị
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-cong-nghe-van-xuan/,VXUT,Đại Học Công Nghệ Vạn Xuân
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-cong-nghiep-det-may-ha-noi/,HTU,Đại Học Công Nghiệp Dệt May Hà Nội
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-cong-nghiep-ha-noi/,HAUI,Đại Học Công Nghiệp Hà Nội
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-cong-nghiep-quang-ninh/,QUI,Đại Học Công Nghiệp Quảng Ninh
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-cong-nghiep-tphcm/,IUH,Đại Học Công Nghiệp TPHCM
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-cong-nghiep-viet-hung/,VIU,Đại Học Công Nghiệp Việt Hung
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-cong-nghiep-viet-tri/,VUI,Đại Học Công Nghiệp Việt Trì
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-cong-nghiep-vinh/,IUV,Đại học Công nghiệp Vinh
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-cong-thuong-tphcm/,HUIT,Đại Học Công Thương TPHCM
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-cuu-long/,MKU,Đại Học Cửu Long
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-da-lat/,DLU,Đại Học Đà Lạt
https://huongnghiep.hocmai.vn/diem-truong/khoa-giao-duc-the-chat-dai-hoc-da-nang/,UD,Đại học Đà Nẵng
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-su-pham-ky-thuat-dai-hoc-da-nang/,UTE,Đại học Đà Nẵng
https://huongnghiep.hocmai.vn/diem-truong/vien-nghien-cuu-va-dao-tao-viet-anh-dai-hoc-da-nang/,VNUK,Đại học Đà Nẵng
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-dai-nam/,DNU,Đại Học Đại Nam
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-dan-lap-duy-tan/,DTU,Đại Học Dân Lập Duy Tân
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-dan-lap-hai-phong/,HU,Đại Học Dân Lập Hải Phòng
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-dan-lap-phu-xuan/,PXU,Đại Học Dân Lập Phú Xuân
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-dan-lap-phuong-dong/,PDU,Đại Học Dân Lập Phương Đông
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-dan-lap-van-lang/,VLU,Đại Học Dân Lập Văn Lang
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-dau-khi-viet-nam/,PVU,Đại Học Dầu Khí Việt Nam
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-dien-luc/,EPU,Đại Học Điện Lực
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-dieu-duong-nam-dinh/,NDUN,Đại Học Điều Dưỡng Nam Định
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-dong-a/,DAU,Đại Học Đông Á
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-dong-do/,HDIU,Đại Học Đông Đô
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-dong-nai/,DNU,Đại Học Đồng Nai
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-dong-thap/,DTHU,Đại Học Đồng Tháp
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-duoc-ha-noi/,HUP,Đại Học Dược Hà Nội
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-fpt/,FPT,Đại Học FPT
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-gia-dinh/,GDU,Đại Học Gia Định
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-giao-thong-van-tai-co-so-phia-bac/,UTC,Đại Học Giao Thông Vận Tải (Cơ sở Phía Bắc)
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-giao-thong-van-tai-co-so-phia-nam/,UTC2,Đại Học Giao Thông Vận Tải (Cơ sở Phía Nam)
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-giao-thong-van-tai-tphcm/,UT-HCMC,Đại Học Giao Thông Vận Tải TPHCM
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-ha-hoa-tien/,HHTU,Đại Học Hà Hoa Tiên
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-ha-long/,HLU,Đại Học Hạ Long
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-ha-noi/,HANU,Đại Học Hà Nội
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-ha-tinh/,HTU,Đại Học Hà Tĩnh
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-hai-duong/,UHD,Đại Học Hải Dương
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-hai-phong/,HPU,Đại Học Hải Phòng
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-hang-hai/,VMU,Đại Học Hàng Hải
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-hoa-binh/,HBU,Đại Học Hòa Bình
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-hoa-lu/,HLUV,Đại Học Hoa Lư
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-hoa-sen/,HSU,Đại Học Hoa Sen
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-hong-duc/,HĐU,Đại Học Hồng Đức
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-luat-dai-hoc-hue/,UL-HU,Đại Học Huế
https://huongnghiep.hocmai.vn/diem-truong/khoa-ky-thuat-va-cong-nghe-dai-hoc-hue/,HUET,Đại học Huế
https://huongnghiep.hocmai.vn/diem-truong/khoa-quoc-te-dai-hoc-hue/,HUIS,Đại học Huế
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-hung-vuong/,HVU,Đại Học Hùng Vương
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-hung-vuong-tphcm/,HVUH,Đại học Hùng Vương - TPHCM
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-khanh-hoa/,UKH,Đại học Khánh Hòa
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-khoa-hoc-dai-hoc-hue/,HUS,Đại Học Khoa Học – Đại Học Huế
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-khoa-hoc-dai-hoc-thai-nguyen/,TNUS,Đại Học Khoa Học – Đại Học Thái Nguyên
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-khoa-hoc-tu-nhien-dai-hoc-quoc-gia-ha-noi/,VNU-HUS,Đại Học Khoa Học Tự Nhiên – Đại Học Quốc Gia Hà Nội
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-khoa-hoc-tu-nhien-dai-hoc-quoc-gia-tphcm/,VNUHCM – US,Đại Học Khoa Học Tự Nhiên – Đại Học Quốc Gia TPHCM
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-khoa-hoc-va-cong-nghe-ha-noi/,USTH,Đại Học Khoa Học Và Công Nghệ Hà Nội
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-khoa-hoc-xa-hoi-va-nhan-van-dai-hoc-quoc-gia-ha-noi/,VNU-USSH,Đại Học Khoa Học Xã Hội và Nhân Văn – Đại Học Quốc Gia Hà Nội
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-khoa-hoc-xa-hoi-va-nhan-van-dai-hoc-quoc-gia-tphcm/,VNUHCM-USSH,Đại Học Khoa Học Xã Hội và Nhân Văn – Đại Học Quốc Gia TPHCM
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-kiem-sat-ha-noi/,HPU,Đại học Kiểm Sát Hà Nội
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-kien-giang/,KGU,Đại học Kiên Giang
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-kien-truc-da-nang/,DAU,Đại Học Kiến Trúc Đà Nẵng
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-kien-truc-ha-noi/,HAU,Đại Học Kiến Trúc Hà Nội
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-kien-truc-tphcm/,UAH,Đại Học Kiến Trúc TPHCM
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-kinh-bac/,UKB,Đại Học Kinh Bắc
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-kinh-doanh-va-cong-nghe-ha-noi/,HUBT,Đại Học Kinh Doanh và Công Nghệ Hà Nội
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-kinh-te-dai-hoc-da-nang/,DUE,Đại Học Kinh Tế – Đại Học Đà Nẵng
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-kinh-te-dai-hoc-hue/,HCE-HU,Đại Học Kinh Tế – Đại Học Huế
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-kinh-te-dai-hoc-quoc-gia-ha-noi/,VNU - UEB,Đại Học Kinh Tế – Đại Học Quốc Gia Hà Nội
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-kinh-te-luat-dai-hoc-quoc-gia-tphcm/,VNUHCM - UEL,Đại học Kinh Tế – Luật – Đại Học Quốc Gia TPHCM
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-kinh-te-tai-chinh-tphcm/,UEF,Đại học Kinh tế - Tài chính TPHCM
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-kinh-te-cong-nghiep-long-an/,DLA,Đại Học Kinh Tế Công Nghiệp Long An
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-kinh-te-ky-thuat-binh-duong/,BETU,Đại Học Kinh Tế Kỹ Thuật Bình Dương
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-kinh-te-ky-thuat-cong-nghiep/,UNETI,Đại Học Kinh Tế Kỹ Thuật Công Nghiệp
