major_code,major_name,subject_group,point,note,year,university_code,university_name
7210404,Thiết kế thời trang,D01; V00; V01; H00,20,,2023.0,CCM,Đại Học Công Nghiệp Dệt May Hà Nội
7540209,Công nghệ may,A00; A01; B00; D01,19,,2023.0,CCM,Đại Học Công Nghiệp Dệt May Hà Nội
7510201,Công nghệ kỹ thuật cơ khí,A00; A01; B00; D01,18,,2023.0,CCM,Đại Học Công Nghiệp Dệt May Hà Nội
7510301,"Công nghệ kỹ thuật điện, điện tử",A00; A01; B00; D01,18,,2023.0,CCM,Đại Học Công Nghiệp Dệt May Hà Nội
7540202,Công nghệ Sợi Dệt,A00; A01; B00; D01,18,,2023.0,CCM,Đại Học Công Nghiệp Dệt May Hà Nội
7340301,Kế toán,A00; A01; B00; D01,18,,2023.0,CCM,Đại Học Công Nghiệp Dệt May Hà Nội
7340122,Thương mại điện tử,A00; A01; B00; D01,18,,2023.0,CCM,Đại Học Công Nghiệp Dệt May Hà Nội
7340115,Marketing,A00; A01; B00; D01,18,,2023.0,CCM,Đại Học Công Nghiệp Dệt May Hà Nội
7510601,Quản lý công nghiệp,A00; A01; B00; D01,18,,2023.0,CCM,Đại Học Công Nghiệp Dệt May Hà Nội
7860100,Nghiệp vụ An ninh,A00; A01; C03; D01,21,Nam; Vùng 1,2023.0,ANH,Học Viện An Ninh Nhân Dân
7860100,Nghiệp vụ An ninh,A00; A01; C03; D01,24.14,Nữ; Vùng 1,2023.0,ANH,Học Viện An Ninh Nhân Dân
7860100,Nghiệp vụ An ninh,A00; A01; C03; D01,21.58,Nam; Vùng 2,2023.0,ANH,Học Viện An Ninh Nhân Dân
7860100,Nghiệp vụ An ninh,A00; A01; C03; D01,23.67,Nữ; Vùng 2,2023.0,ANH,Học Viện An Ninh Nhân Dân
7860100,Nghiệp vụ An ninh,A00; A01; C03; D01,20.66,Nam; Vùng 3,2023.0,ANH,Học Viện An Ninh Nhân Dân
7860100,Nghiệp vụ An ninh,A00; A01; C03; D01,24.19,Nữ; Vùng 3,2023.0,ANH,Học Viện An Ninh Nhân Dân
7860100,Nghiệp vụ An ninh,A00; A01; C03; D01,19.98,Nam; Vùng 8,2023.0,ANH,Học Viện An Ninh Nhân Dân
7860100,Nghiệp vụ An ninh,A00; A01; C03; D01,19.37,Nữ; Vùng 8,2023.0,ANH,Học Viện An Ninh Nhân Dân
7480202,An toàn thông tin,A00; A01,19.95,Nam; Miền Bắc,2023.0,ANH,Học Viện An Ninh Nhân Dân
7480202,An toàn thông tin,A00; A01,21.93,Nữ; Miền Bắc,2023.0,ANH,Học Viện An Ninh Nhân Dân
7480202,An toàn thông tin,A00; A01,17.61,Nam; Miền Nam,2023.0,ANH,Học Viện An Ninh Nhân Dân
7480202,An toàn thông tin,A00; A01,21.08,Nữ; Miền Nam,2023.0,ANH,Học Viện An Ninh Nhân Dân
7720101,Y khoa,B00,22.5,Nam; Miền Bắc; Điểm xét tuyển từ 14.73 và tổng điểm 03 môn thi THPT (không nhân hệ số; không tính ĐUT) từ 22.5,2023.0,ANH,Học Viện An Ninh Nhân Dân
7720101,Y khoa,B00,22.5,Nam; Miền Nam; Điểm xét tuyển từ 14.85 và tổng điểm 03 môn thi THPT (không nhân hệ số; không tính ĐUT) từ 22.5,2023.0,ANH,Học Viện An Ninh Nhân Dân
7720101,Y khoa,A00; B00; A02; B08,22.75,,2023.0,BMU,Đại học Y Dược Buôn Ma Thuột
7720201,Dược học,A00; B00; D07,21,,2023.0,BMU,Đại học Y Dược Buôn Ma Thuột
7720301,Điều dưỡng,A00; B00; A02; B08,19,,2023.0,BMU,Đại học Y Dược Buôn Ma Thuột
7720701,Y tế công cộng,A00; B00; A02; B08,16,,2023.0,BMU,Đại học Y Dược Buôn Ma Thuột
7860207,Ngành Chỉ huy tham mưu Đặc công,A00; A01,18.05,TS nam miền Bắc,2023.0,DCH,Trường Sĩ Quan Đặc Công
7860207,Ngành Chỉ huy tham mưu Đặc công,A00; A01,22.45,TS nam miền Nam,2023.0,DCH,Trường Sĩ Quan Đặc Công
7480201,Công nghệ thông tin,A00; A01; D01; D90,23,,2023.0,CMC,Đại Học CMC
7480101,Khoa học mãy tính,A00; A01; D00; D90,23,,2023.0,CMC,Đại Học CMC
7340101,Quản trị kinh doanh,A00; A01; C00; D00,22.5,,2023.0,CMC,Đại Học CMC
7210403,Thiết kế đồ họa,A00; A01; C00; D90,22.5,,2023.0,CMC,Đại Học CMC
7220209,Ngôn ngữ Nhật,A01; C00; D00; D06,22,,2023.0,CMC,Đại Học CMC
7220210,Ngôn ngữ Hàn Quốc,A01; C00; D01; D10,22,,2023.0,CMC,Đại Học CMC
7860100,Nghiệp vụ Cảnh sát,A00; A01; C03; D01,19.53,"Nam, Vùng 1",2023.0,CSH,Học Viện Cảnh Sát Nhân Dân
7860100,Nghiệp vụ Cảnh sát,A00; A01; C03; D01,24.23,"Nữ, Vùng 1",2023.0,CSH,Học Viện Cảnh Sát Nhân Dân
7860100,Nghiệp vụ Cảnh sát,A00; A01; C03; D01,20.68,"Nam, Vùng 2",2023.0,CSH,Học Viện Cảnh Sát Nhân Dân
7860100,Nghiệp vụ Cảnh sát,A00; A01; C03; D01,23.55,"Nữ, Vùng 2",2023.0,CSH,Học Viện Cảnh Sát Nhân Dân
7860100,Nghiệp vụ Cảnh sát,A00; A01; C03; D01,20.85,"Nam, Vùng 3",2023.0,CSH,Học Viện Cảnh Sát Nhân Dân
7860100,Nghiệp vụ Cảnh sát,A00; A01; C03; D01,24.78,"Nữ, Vùng 3",2023.0,CSH,Học Viện Cảnh Sát Nhân Dân
7860100,Nghiệp vụ Cảnh sát,A00; A01; C03; D01,20.88,"Nam, Vùng 8",2023.0,CSH,Học Viện Cảnh Sát Nhân Dân
7860100,Nghiệp vụ Cảnh sát,A00; A01; C03; D01,16.15,"Nữ, Vùng 8",2023.0,CSH,Học Viện Cảnh Sát Nhân Dân
7340301,Kế toán,A00; A01; D01; C04,15,,2023.0,DCA,Đại Học Chu Văn An
7340201,Tài chính - Ngân hàng,A00; A01; D01; C04,15,,2023.0,DCA,Đại Học Chu Văn An
7340101,Quản trị kinh doanh,A00; A01; D01; C04,15,,2023.0,DCA,Đại Học Chu Văn An
7380107,Luật Kinh tế,A00; A01; D01; C00,15,,2023.0,DCA,Đại Học Chu Văn An
7480201,Công nghệ thòng tin,A00; A01; D01; C04,17,,2023.0,DCA,Đại Học Chu Văn An
7520201,Kỹ thuật điện,A00; A01; D01; C04,17,,2023.0,DCA,Đại Học Chu Văn An
7580101,Kiến trúc,V00; V01; V02; V03,15,,2023.0,DCA,Đại Học Chu Văn An
7580201,Kỹ thuật xây dựng,A00; A01; D01; C04,15,,2023.0,DCA,Đại Học Chu Văn An
7220201,Ngôn ngữ Anh,D01; A01; D14; D10,15,,2023.0,DCA,Đại Học Chu Văn An
7340101,Quản trị kinh doanh,A00; D01; C00; C14; C20,16,,2023.0,DBH,Đại Học Quốc Tế Bắc Hà
7340201,Tài chính ngân hàng,A00; D01; C00; C14; C20,16,,2023.0,DBH,Đại Học Quốc Tế Bắc Hà
7340301,Kế toán,A00; D01; C00; C14; C20,16,,2023.0,DBH,Đại Học Quốc Tế Bắc Hà
7480201,Công nghệ thông tin,A00; A01; A02; A03; A04,16,,2023.0,DBH,Đại Học Quốc Tế Bắc Hà
7520207,Kỹ thuật Điện tử Viễn thông,A00; A01; A02; A03; A04,16,,2023.0,DBH,Đại Học Quốc Tế Bắc Hà
7580201,Kỹ thuật Xây dựng,A00; A01; A04; A06; D01,15.5,,2023.0,DBH,Đại Học Quốc Tế Bắc Hà
7580205,Kỹ thuật xây dựng công trình giao thông,A00; A01; A04; A06; D01,15.5,,2023.0,DBH,Đại Học Quốc Tế Bắc Hà
7580301,Kinh tế Xây dựng,A00; A01; A04; A06; D01,15,,2023.0,DBH,Đại Học Quốc Tế Bắc Hà
7480201,Công nghệ thông tin,A00; A01; B00; D01,18,,2023.0,CEA,Đại học Kinh Tế Nghệ An
7340301,Kế toán,A00; A01; B00; D01,18,,2023.0,CEA,Đại học Kinh Tế Nghệ An
7310101,Kinh tế,A00; A01; B00; D01,18,,2023.0,CEA,Đại học Kinh Tế Nghệ An
7310109,Kinh tế số,A00; A01; B00; D01,20,,2023.0,CEA,Đại học Kinh Tế Nghệ An
7620201,Lâm học,A00; A01; B00; D01,20,,2023.0,CEA,Đại học Kinh Tế Nghệ An
7340115,Marketing,A00; A01; B00; D01,18,,2023.0,CEA,Đại học Kinh Tế Nghệ An
7620101,Nông nghiệp (công nghệ cao),A00; A01; B00; D01,19,,2023.0,CEA,Đại học Kinh Tế Nghệ An
7850103,Quản lý đất đai,A00; A01; B00; D01,19,,2023.0,CEA,Đại học Kinh Tế Nghệ An
7340101,Quản trị kinh doanh,A00; A01; B00; D01,18,,2023.0,CEA,Đại học Kinh Tế Nghệ An
7340201,Tài chính ngân hàng,A00; A01; B00; D01,18,,2023.0,CEA,Đại học Kinh Tế Nghệ An
7640101,Thú y (Bác sĩ thú y),A00; A01; B00; D01,18,,2023.0,CEA,Đại học Kinh Tế Nghệ An
7520207,Kỹ thuật Điện tử viễn thông,A00; A01,21.9,TTNV <= 9,2023.0,BVS,Học Viện Công Nghệ Bưu Chính Viễn Thông (Phía Nam)
7510301,"Công nghệ Kỹ thuật Điện, điện tử",A00; A01,18.15,TTNV <= 3,2023.0,BVS,Học Viện Công Nghệ Bưu Chính Viễn Thông (Phía Nam)
7520216,Kỹ thuật Điều khiển và tự động hóa,A00; A01,18,TTNV = 1,2023.0,BVS,Học Viện Công Nghệ Bưu Chính Viễn Thông (Phía Nam)
7520208,Công nghệ Inernet vạn vật,A00; A01,21.7,TTNV = 1,2023.0,BVS,Học Viện Công Nghệ Bưu Chính Viễn Thông (Phía Nam)
7480201,Công nghệ thông tin,A00; A01,25.1,TTNV <= 10,2023.0,BVS,Học Viện Công Nghệ Bưu Chính Viễn Thông (Phía Nam)
7480202,An toàn thông tin,A00; A01,24.44,TTNV <= 17,2023.0,BVS,Học Viện Công Nghệ Bưu Chính Viễn Thông (Phía Nam)
7329001,Công nghệ đa phương tiện,A00; A01; D01,24.05,TTNV = 1,2023.0,BVS,Học Viện Công Nghệ Bưu Chính Viễn Thông (Phía Nam)
7340101,Quản trị kinh doanh,A00; A01; D01,22.8,TTNV <= 16,2023.0,BVS,Học Viện Công Nghệ Bưu Chính Viễn Thông (Phía Nam)
