university_code,university_name,major_code,major_name,subject_group,point,note,year
UFL-HU,Đại Học Ngoại Ngữ – Đại Học Huế,7140234,Sư phạm Tiếng Trung Quốc,"D01, D15, D04, D45",24.85,Tốt nghiệp THPT,2023
UFL-HU,Đại Học Ngoại Ngữ – Đại Học Huế,7140233,Sư phạm Tiếng Pháp,"D01, D15, D03, D44",19,Tốt nghiệp THPT,2023
UFL-HU,Đại Học Ngoại Ngữ – Đại Học Huế,7220204,Ngôn ngữ Trung Quốc,"D01, D15, D04, D45",23,Tốt nghiệp THPT,2023
UFL-HU,Đại Học Ngoại Ngữ – Đại Học Huế,7220210,Ngôn ngữ Hàn Quốc,"D01, D14, D15",22.5,Tốt nghiệp THPT,2023
UFL-HU,Đại Học Ngoại Ngữ – Đại Học Huế,7140231,Sư phạm Tiếng Anh,"D01, D14, D15",25.5,Tốt nghiệp THPT,2023
UFL-HU,Đại Học Ngoại Ngữ – Đại Học Huế,7220209,Ngôn ngữ Nhật,"D01, D15, D06, D43",19.5,Tốt nghiệp THPT,2023
UFL-HU,Đại Học Ngoại Ngữ – Đại Học Huế,7310601,Quốc tế học,"D01, D14, D15",15,Tốt nghiệp THPT,2023
UFL-HU,Đại Học Ngoại Ngữ – Đại Học Huế,7220203,Ngôn ngữ Pháp,"D01, D15, D03, D44",15,Tốt nghiệp THPT,2023
UFL-HU,Đại Học Ngoại Ngữ – Đại Học Huế,7310630,Việt Nam học,"D01, D14, D15",15,Tốt nghiệp THPT,2023
UFL-HU,Đại Học Ngoại Ngữ – Đại Học Huế,7220202,Ngôn ngữ Nga,"D01, D15, D02, D42",15,Tốt nghiệp THPT,2023
UFL-HU,Đại Học Ngoại Ngữ – Đại Học Huế,7220201,Ngôn ngữ Anh,"D01, D14, D15",19.5,Tốt nghiệp THPT,2023
UFL-HU,Đại Học Ngoại Ngữ – Đại Học Huế,7140234,Sư phạm Tiếng Trung Quốc,"D01, D15, D04, D45, XDHB",25.5,Xét học bạ,2023
UFL-HU,Đại Học Ngoại Ngữ – Đại Học Huế,7140233,Sư phạm Tiếng Pháp,"D01, D15, D03, D44, XDHB",18,Xét học bạ,2023
UFL-HU,Đại Học Ngoại Ngữ – Đại Học Huế,7220204,Ngôn ngữ Trung Quốc,"D01, D15, D04, D45, XDHB",25.5,Xét học bạ,2023
UFL-HU,Đại Học Ngoại Ngữ – Đại Học Huế,7220210,Ngôn ngữ Hàn Quốc,"D01, D14, D15, XDHB",25,Xét học bạ,2023
UFL-HU,Đại Học Ngoại Ngữ – Đại Học Huế,7140231,Sư phạm Tiếng Anh,"D01, D14, D15, XDHB",27.25,Xét học bạ,2023
UFL-HU,Đại Học Ngoại Ngữ – Đại Học Huế,7220209,Ngôn ngữ Nhật,"D01, D15, D06, D43, XDHB",19,Xét học bạ,2023
UFL-HU,Đại Học Ngoại Ngữ – Đại Học Huế,7310601,Quốc tế học,"D01, D14, D15, XDHB",18,Xét học bạ,2023
UFL-HU,Đại Học Ngoại Ngữ – Đại Học Huế,7220203,Ngôn ngữ Pháp,"D01, D15, D03, D44, XDHB",18,Xét học bạ,2023
UFL-HU,Đại Học Ngoại Ngữ – Đại Học Huế,7310630,Việt Nam học,"D01, D14, D15, XDHB",18,Xét học bạ,2023
UFL-HU,Đại Học Ngoại Ngữ – Đại Học Huế,7220202,Ngôn ngữ Nga,"D01, D15, D02, D42, XDHB",18,Xét học bạ,2023
UFL-HU,Đại Học Ngoại Ngữ – Đại Học Huế,7220201,Ngôn ngữ Anh,"D01, D14, D15, XDHB",20,Xét học bạ,2023
SPR-HU,Khoa Giáo Dục Thể Chất – Đại Học Huế,7140206,Giáo dục Thể chất,"T00, T02, T05, T07",21,Tốt nghiệp THPT,2023
SPR-HU,Khoa Giáo Dục Thể Chất – Đại Học Huế,7140206,Giáo dục Thể chất,"T00, T02, T05, T07, XDHB",18,Xét học bạ,2023
ULIS,Đại Học Ngoại Ngữ – Đại Học Quốc Gia Hà Nội,7220204,Ngôn ngữ Trung Quốc,"D01, D90, D78, D04",35.32,Tốt nghiệp THPT,2023
ULIS,Đại Học Ngoại Ngữ – Đại Học Quốc Gia Hà Nội,7220210,Ngôn ngữ Hàn Quốc,"D01, D90, D78, DD2",34.92,Tốt nghiệp THPT,2023
ULIS,Đại Học Ngoại Ngữ – Đại Học Quốc Gia Hà Nội,7220203,Ngôn ngữ Pháp,"D01, D90, D78, D03",32.99,Tốt nghiệp THPT,2023
ULIS,Đại Học Ngoại Ngữ – Đại Học Quốc Gia Hà Nội,7220209,Ngôn ngữ Nhật,"D01, D90, D78, D06",34.23,Tốt nghiệp THPT,2023
ULIS,Đại Học Ngoại Ngữ – Đại Học Quốc Gia Hà Nội,7220205,Ngôn ngữ Đức,"D01, D90, D78, D05",32.83,Tốt nghiệp THPT,2023
ULIS,Đại Học Ngoại Ngữ – Đại Học Quốc Gia Hà Nội,7220201,Ngôn ngữ Anh,"D01, D90, D78",35.57,Tốt nghiệp THPT,2023
ULIS,Đại Học Ngoại Ngữ – Đại Học Quốc Gia Hà Nội,7140234,Sư phạm Tiếng Trung Quốc,"D01, D90, D78, D04",38.46,Tốt nghiệp THPT,2023
ULIS,Đại Học Ngoại Ngữ – Đại Học Quốc Gia Hà Nội,7140237,Sư phạm Tiếng Hàn Quốc,"D01, D90, D78, DD2",35.92,Tốt nghiệp THPT,2023
ULIS,Đại Học Ngoại Ngữ – Đại Học Quốc Gia Hà Nội,7140236,Sư phạm Tiếng Nhật,"D01, D90, D78, D06",35.27,Tốt nghiệp THPT,2023
ULIS,Đại Học Ngoại Ngữ – Đại Học Quốc Gia Hà Nội,7140231,Sư phạm Tiếng Anh,"D01, D90, D78",38.1,Tốt nghiệp THPT,2023
ULIS,Đại Học Ngoại Ngữ – Đại Học Quốc Gia Hà Nội,7220202,Ngôn ngữ Nga,"D01, D90, D78, D02",31.2,Tốt nghiệp THPT,2023
ULIS,Đại Học Ngoại Ngữ – Đại Học Quốc Gia Hà Nội,7220204,Ngôn ngữ Trung Quốc,DGNLQGHN,105,Đánh giá năng lực Đại học Quốc gia Hà Nội,2023
ULIS,Đại Học Ngoại Ngữ – Đại Học Quốc Gia Hà Nội,7220210,Ngôn ngữ Hàn Quốc,DGNLQGHN,105,Đánh giá năng lực Đại học Quốc gia Hà Nội,2023
